Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
24,No,Travel_Rarely,Sales,18,4,Marketing,1,10021,Female,2,Human Resources,Married,96312,7,Y,21,8,0,4,2,29,8,8
42,No,Travel_Rarely,Research & Development,20,3,Medical,1,10022,Male,1,Manager,Single,189836,3,Y,21,8,0,31,3,31,1,11
29,Yes,Travel_Rarely,Research & Development,8,1,Life Sciences,1,10023,Female,2,Manufacturing Director,Single,40587,0,Y,11,8,3,0,5,1,6,11
57,No,Travel_Rarely,Research & Development,8,2,Human Resources,1,10024,Male,3,Manufacturing Director,Divorced,60603,1,Y,25,8,3,19,4,39,10,16
50,No,Travel_Rarely,Research & Development,24,3,Medical,1,10025,Male,3,Human Resources,Married,131703,6,Y,12,8,0,27,2,38,0,16
55,No,Non-Travel,Research & Development,22,3,Life Sciences,1,10026,Male,1,Research Director,Single,36401,3,Y,13,8,0,36,2,37,11,10
43,No,Travel_Frequently,Research & Development,20,2,Life Sciences,1,10027,Male,3,Sales Executive,Married,97665,2,Y,22,8,0,11,3,29,2,8
52,Yes,Travel_Frequently,Research & Development,23,1,Technical Degree,1,10028,Female,1,Research Scientist,Divorced,152777,2,Y,14,8,1,17,4,31,4,9
49,No,Travel_Rarely,Sales,15,3,Life Sciences,1,10029,Female,5,Research Director,Single,95586,1,Y,20,8,2,4,3,26,5,10
56,No,Travel_Rarely,Research & Development,20,2,Medical,1,10030,Male,1,Laboratory Technician,Married,86699,9,Y,24,8,0,30,3,11,8,11
55,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,10031,Male,1,Manufacturing Director,Married,190403,2,Y,22,8,0,1,3,22,12,6
34,Yes,Travel_Frequently,Research & Development,2,2,Medical,1,10032,Female,2,Manager,Single,194162,7,Y,11,8,0,8,4,14,11,14
25,No,Travel_Frequently,Sales,6,4,Life Sciences,1,10033,Female,2,Manager,Married,60011,4,Y,22,8,0,1,3,34,4,5
27,No,Travel_Rarely,Sales,10,3,Life Sciences,1,10034,Male,1,Sales Executive,Single,174458,7,Y,25,8,0,17,5,2,5,16
22,Yes,Travel_Rarely,Sales,18,4,Medical,1,10035,Female,2,Laboratory Technician,Single,102192,7,Y,17,8,3,34,5,14,0,4
33,Yes,Travel_Rarely,Research & Development,4,3,Life Sciences,1,10036,Male,3,Manager,Married,73418,8,Y,24,8,1,24,5,4,11,14
56,No,Travel_Rarely,Research & Development,14,5,Marketing,1,10037,Male,2,Human Resources,Married,123515,5,Y,19,8,0,15,4,27,3,15
32,No,Travel_Rarely,Research & Development,26,5,Medical,1,10038,Male,2,Research Director,Single,138037,6,Y,23,8,0,19,2,39,7,2
44,No,Travel_Rarely,Sales,2,1,Human Resources,1,10039,Male,3,Research Director,Married,41183,5,Y,22,8,1,3,3,9,14,2
35,No,Travel_Rarely,Sales,22,3,Life Sciences,1,10040,Female,2,Healthcare Representative,Married,170921,4,Y,22,8,1,31,2,21,12,14
40,No,Travel_Frequently,Research & Development,7,3,Life Sciences,1,10041,Female,2,Manager,Married,145288,5,Y,13,8,2,19,3,2,2,15
58,No,Travel_Frequently,Research & Development,27,2,Life Sciences,1,10042,Male,3,Research Scientist,Single,130213,5,Y,15,8,0,38,2,38,10,7
37,No,Non-Travel,Research & Development,18,3,Other,1,10043,Male,3,Human Resources,Single,137067,0,Y,25,8,3,14,4,37,5,5
49,No,Travel_Rarely,Sales,22,2,Life Sciences,1,10044,Male,1,Sales Representative,Married,87006,3,Y,12,8,0,17,2,35,0,4
52,Yes,Travel_Rarely,Research & Development,17,5,Medical,1,10045,Male,3,Human Resources,Divorced,97509,6,Y,20,8,0,6,4,1,0,14
28,No,Travel_Rarely,Research & Development,24,3,Life Sciences,1,10046,Female,2,Healthcare Representative,Divorced,126986,1,Y,17,8,0,2,3,24,2,15
48,No,Travel_Rarely,Research & Development,17,3,Other,1,10047,Male,4,Laboratory Technician,Divorced,190453,3,Y,11,8,3,7,5,37,2,13
38,No,Non-Travel,Sales,13,3,Life Sciences,1,10048,Female,1,Research Director,Married,40401,2,Y,22,8,1,28,3,29,2,16
28,No,Travel_Rarely,Research & Development,27,4,Medical,1,10049,Male,1,Research Scientist,Divorced,26223,2,Y,14,8,0,7,3,5,7,6
